per_out,det-dist-oper,gamma,avg_len,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
0.12,svm-custom-sum,0.65,51.1,0.596,0.57,0.558,0.537,0.523,0.514,0.481,0.475,0.459,0.448,0.062,0.052,0.069,0.052,0.066,0.048,0.069,0.065,0.057,0.064
0.1,custom-custom-sum,0.65,41.0,0.593,0.585,0.574,0.562,0.539,0.542,0.54,0.527,0.508,0.505,0.062,0.074,0.076,0.068,0.063,0.059,0.076,0.067,0.072,0.064
0.12,custom-custom-sum,0.65,49.0,0.62,0.597,0.602,0.578,0.565,0.563,0.56,0.544,0.537,0.527,0.065,0.065,0.071,0.063,0.061,0.064,0.066,0.056,0.062,0.07
0.1,svm-custom-sum,0.7,42.7,0.564,0.547,0.539,0.509,0.493,0.498,0.47,0.454,0.442,0.437,0.067,0.056,0.064,0.06,0.065,0.063,0.071,0.076,0.064,0.076
0.12,svm-custom-sum,0.7,50.1,0.598,0.573,0.556,0.544,0.525,0.521,0.491,0.476,0.456,0.45,0.063,0.056,0.064,0.048,0.064,0.054,0.067,0.066,0.061,0.062
0.1,custom-custom-sum,0.7,41.0,0.59,0.581,0.576,0.566,0.545,0.542,0.538,0.53,0.51,0.506,0.066,0.081,0.076,0.072,0.063,0.066,0.079,0.07,0.073,0.071
0.12,custom-custom-sum,0.7,49.0,0.614,0.592,0.599,0.578,0.564,0.563,0.56,0.545,0.536,0.522,0.068,0.07,0.074,0.068,0.061,0.067,0.066,0.058,0.063,0.067
0.1,svm-custom-sum,0.75,42.9,0.578,0.557,0.536,0.523,0.502,0.497,0.47,0.468,0.447,0.437,0.071,0.078,0.074,0.067,0.075,0.064,0.074,0.075,0.077,0.075
0.12,svm-custom-sum,0.75,50.9,0.605,0.577,0.563,0.544,0.529,0.524,0.499,0.486,0.47,0.453,0.059,0.05,0.062,0.049,0.068,0.053,0.068,0.065,0.06,0.065
0.1,custom-custom-sum,0.75,41.0,0.587,0.573,0.573,0.566,0.546,0.539,0.539,0.526,0.51,0.503,0.07,0.082,0.078,0.072,0.068,0.064,0.077,0.065,0.072,0.067
0.12,custom-custom-sum,0.75,49.0,0.611,0.59,0.598,0.575,0.564,0.559,0.559,0.543,0.535,0.523,0.068,0.066,0.08,0.069,0.061,0.065,0.068,0.057,0.066,0.068
0.1,svm-custom-sum,0.8,42.8,0.576,0.551,0.535,0.511,0.504,0.495,0.475,0.453,0.436,0.426,0.058,0.06,0.063,0.051,0.067,0.067,0.068,0.054,0.073,0.075
0.12,svm-custom-sum,0.8,50.9,0.605,0.578,0.558,0.549,0.527,0.53,0.495,0.484,0.474,0.455,0.063,0.058,0.061,0.045,0.069,0.057,0.064,0.066,0.065,0.062
0.1,custom-custom-sum,0.8,41.0,0.582,0.567,0.571,0.562,0.541,0.539,0.535,0.521,0.507,0.502,0.08,0.09,0.078,0.076,0.068,0.065,0.08,0.065,0.071,0.066
0.12,custom-custom-sum,0.8,49.0,0.605,0.587,0.596,0.573,0.56,0.556,0.557,0.544,0.536,0.526,0.066,0.073,0.076,0.072,0.062,0.063,0.069,0.055,0.067,0.074
0.1,svm-custom-sum,0.85,42.8,0.589,0.562,0.547,0.531,0.5,0.5,0.48,0.462,0.446,0.439,0.061,0.068,0.056,0.059,0.073,0.06,0.075,0.08,0.074,0.07
0.12,svm-custom-sum,0.85,49.9,0.615,0.578,0.555,0.545,0.537,0.522,0.489,0.482,0.46,0.462,0.067,0.058,0.057,0.051,0.07,0.056,0.056,0.054,0.054,0.058
0.1,custom-custom-sum,0.85,41.0,0.581,0.564,0.568,0.558,0.539,0.532,0.534,0.519,0.505,0.5,0.085,0.089,0.076,0.072,0.065,0.063,0.082,0.059,0.068,0.067
0.12,custom-custom-sum,0.85,49.0,0.602,0.587,0.593,0.572,0.559,0.555,0.554,0.543,0.533,0.524,0.066,0.069,0.075,0.071,0.061,0.063,0.071,0.055,0.07,0.073
0.1,svm-custom-sum,0.9,42.4,0.585,0.557,0.55,0.523,0.513,0.5,0.478,0.453,0.449,0.436,0.066,0.065,0.058,0.05,0.054,0.063,0.067,0.072,0.073,0.063
0.12,svm-custom-sum,0.9,50.4,0.603,0.581,0.564,0.561,0.531,0.532,0.495,0.487,0.468,0.459,0.062,0.056,0.058,0.047,0.06,0.053,0.063,0.061,0.063,0.063
0.1,custom-custom-sum,0.9,41.0,0.577,0.562,0.567,0.558,0.538,0.534,0.538,0.521,0.509,0.501,0.086,0.085,0.074,0.072,0.07,0.064,0.075,0.063,0.071,0.063
